dataset.uniprotswissprot	dataset.ensembl_gene_id	t0_1	t0_2	t0_3
P05626	YPL078C	4.78E-06	4.75E-06	5.10E-06
P05694	YER091C	0.000102582	9.74E-05	9.87E-05
P05737	YGL076C	7.42E-05	7.59E-05	7.35E-05
P05738	YGL147C	1.48E-06	1.52E-06	1.38E-06
P05739	YLR448W	8.71E-05	8.56E-05	8.04E-05
P05740	YKL180W	9.85E-05	0.000100477	0.000109673
P05743	YLR344W	0.000108695	0.000133635	0.000135776
P05744	YPL143W	7.01E-06	7.12E-06	7.35E-06
P05745	YMR194W	5.81E-06	5.56E-06	5.53E-06
P05747	YFR032C-A	4.14E-06	4.22E-06	4.23E-06
P05748	YLR029C	9.96E-05	9.88E-05	7.25E-05
P05749	YLR061W	3.83E-05	3.70E-05	3.78E-05
P05750	YNL178W	6.20E-05	6.45E-05	6.49E-05
P05755	YBR189W	0.000124926	0.000117834	0.000120963
P05756	YDR064W	5.87E-05	6.60E-05	6.29E-05
P05759	YLR167W	4.41E-05	4.07E-05	4.49E-05
P06100	YDL165W	3.36E-07	4.05E-07	4.00E-07
P06101	YDR168W	1.39E-06	1.33E-06	1.31E-06
P06102	YIL038C	1.94E-07	1.37E-07	1.99E-07
P06103	YOR361C	3.65E-06	3.52E-06	3.65E-06
P06105	YJL080C	4.28E-06	4.05E-06	4.22E-06
P06106	YLR303W	5.90E-05	6.29E-05	6.06E-05
P06115	YGR088W	5.52E-08	9.15E-08	9.75E-08
P06168	YLR355C	7.57E-05	7.99E-05	7.71E-05
P06169	YLR044C	0.000165966	0.000172935	0.000163241
P06174	YOR278W	7.46E-08	7.00E-08	5.45E-08
P06182	YAL039C	7.70E-07	7.17E-07	5.89E-07
P06197	YPR113W	1.86E-07	1.42E-07	7.53E-07
P06208	YNL104C	4.81E-06	5.28E-06	4.76E-06
P06245	YPL203W	5.90E-08	5.95E-08	6.96E-08
P06367	YCR031C	0.000132448	0.000152953	0.000163229
P06633	YOR202W	3.86E-06	3.88E-06	3.68E-06
P06634	YOR204W	1.11E-05	1.04E-05	1.14E-05
P06701	YLR442C	3.39E-09	4.27E-09	2.25E-09
P06704	YOR257W	1.85E-07	2.16E-07	0
P06738	YPR160W	2.38E-07	3.38E-07	2.66E-07
P06776	YOR360C	1.78E-08	1.56E-08	1.41E-08
P06778	YML032C	5.18E-08	5.00E-08	2.84E-08
P06779	YJR052W	2.05E-08	0	2.10E-08
P06780	YPR165W	4.44E-06	3.99E-06	4.24E-06
P06781	YNL090W	3.93E-08	3.91E-08	3.98E-08
