dataset.uniprotswissprot	dataset.ensembl_gene_id	t0_1	t0_2	t0_3
P06782	YDR477W	3.25E-07	3.49E-07	4.23E-07
P06785	YOR074C	6.29E-07	8.82E-07	6.80E-07
P06786	YNL088W	3.22E-08	4.55E-08	4.36E-08
P06787	YBR109C	4.44E-06	4.07E-06	4.22E-06
P07143	YOR065W	8.24E-07	9.34E-07	9.78E-07
P07149	YKL182W	5.94E-06	5.33E-06	5.76E-06
P07170	YDR226W	2.96E-05	2.80E-05	3.00E-05
P07172	YIL116W	4.17E-06	4.79E-06	4.26E-06
P07213	YNL121C	2.83E-06	2.62E-06	2.86E-06
P07236	YKL194C	2.68E-08	2.70E-08	3.93E-08
P07244	YGL234W	7.83E-06	7.91E-06	7.78E-06
P07245	YGR204W	8.01E-06	7.97E-06	7.95E-06
P07246	YMR083W	8.67E-06	9.80E-06	8.89E-06
P07248	YDR216W	2.59E-10	0	0
P07251	YBL099W	1.62E-05	1.71E-05	1.67E-05
P07253	YBR120C	9.51E-07	1.08E-06	1.15E-06
P07255	YDL067C	2.72E-06	2.99E-06	4.59E-06
P07256	YBL045C	5.60E-06	5.55E-06	5.51E-06
P07257	YPR191W	7.54E-06	7.69E-06	7.50E-06
P07258	YOR303W	3.61E-06	3.27E-06	3.49E-06
P07259	YJL130C	5.98E-06	5.90E-06	5.93E-06
P07260	YOL139C	1.12E-05	1.09E-05	1.10E-05
P07262	YOR375C	3.12E-05	3.40E-05	3.31E-05
P07264	YGL009C	8.71E-06	8.73E-06	8.72E-06
P07266	YIR021W	2.19E-08	4.62E-08	9.31E-08
P07267	YPL154C	2.86E-06	2.44E-06	2.35E-06
P07269	YDL106C	0	1.89E-08	2.47E-08
P07273	YGL043W	5.72E-07	5.62E-07	5.30E-07
P07274	YOR122C	7.76E-06	7.91E-06	7.42E-06
P07275	YHR037W	1.51E-06	1.46E-06	1.38E-06
P07277	YMR208W	4.86E-07	4.84E-07	4.65E-07
P07278	YIL033C	1.05E-06	9.92E-07	1.14E-06
P07280	YOL121C	0.000110378	0.000106465	0.000108639
P07281	YNL302C	2.74E-05	2.71E-05	2.80E-05
P07283	YFL045C	5.65E-06	6.44E-06	6.27E-06
P07284	YDR023W	7.72E-06	7.46E-06	7.82E-06
P07285	YDR354W	3.94E-07	4.47E-07	4.07E-07
P07342	YMR108W	1.08E-05	1.04E-05	1.10E-05
P07347	YHR013C	9.83E-07	1.01E-06	1.19E-06
P07560	YFL005W	3.75E-07	3.94E-07	4.41E-07
P07702	YBR115C	3.84E-06	3.85E-06	3.95E-06
P07703	YPR110C	4.12E-06	3.87E-06	4.00E-06
P07806	YGR094W	5.29E-06	4.99E-06	5.42E-06
P07807	YOR236W	0	5.45E-08	6.68E-08
P07884	YOR274W	1.95E-08	1.98E-08	2.11E-08
P07991	YLR438W	5.88E-07	5.21E-07	1.12E-06
P08018	YJL128C	4.65E-08	4.33E-08	4.78E-08
P08067	YEL024W	9.18E-07	9.55E-07	1.11E-06
P08417	YPL262W	3.56E-06	3.82E-06	4.40E-06
P08425	YPR047W	9.03E-08	8.27E-08	2.56E-07
P08465	YNL277W	6.40E-07	5.09E-07	5.71E-07
P08466	YJL208C	2.46E-07	2.60E-07	2.56E-07
P08518	YOR151C	8.56E-07	7.58E-07	7.84E-07
P08524	YJL167W	9.32E-06	9.48E-06	8.30E-06
P08525	YJL166W	3.28E-06	3.29E-06	3.91E-06
P08536	YJR010W	1.20E-05	1.16E-05	1.19E-05
P08539	YHR005C	2.50E-07	2.27E-07	2.17E-07
P08566	YDR127W	2.16E-06	2.12E-06	2.20E-06
P08678	YJL005W	3.54E-09	3.25E-09	2.63E-09
P08679	YCR005C	5.12E-07	4.53E-07	4.03E-07
P09032	YOR260W	3.20E-07	3.35E-07	2.91E-07
P09064	YPL237W	3.29E-06	3.34E-06	3.44E-06
P09201	YLR377C	1.41E-07	2.26E-07	3.06E-07
P09232	YEL060C	1.20E-06	1.41E-06	1.28E-06
P09435	YBL075C	2.28E-07	3.11E-07	1.57E-06
P09436	YBL076C	4.29E-06	4.09E-06	4.33E-06
P09440	YBR084W	7.59E-07	7.39E-07	7.25E-07
P09457	YDR298C	8.01E-06	7.98E-06	8.52E-06
P09547	YPL016W	0	0	1.18E-08
P09620	YGL203C	2.74E-08	2.24E-08	1.40E-08
P09624	YFL018C	5.85E-06	5.70E-06	5.99E-06
P09733	YML085C	2.61E-06	2.81E-06	2.74E-06
P09734	YML124C	7.35E-07	7.29E-07	6.50E-07
P09880	YJL087C	1.30E-07	8.39E-08	9.57E-08
P09938	YJL026W	4.49E-06	4.32E-06	4.33E-06
P09950	YDR232W	2.40E-07	2.75E-07	2.61E-07
P09959	YLR182W	0	0	4.84E-09
P0C0T4	YLR333C	0.000121288	0.00011794	0.000118944
P0C0X0	YLR264W	1.31E-05	1.30E-05	1.31E-05
P0C2H6	YHR010W	0.000171539	0.000170086	0.000174798
P0C2H8	YDL075W	9.50E-05	9.17E-05	9.45E-05
P0C2H9	YLR406C	1.16E-05	9.45E-06	1.16E-05
P0C5N3	YGL041W-A	7.38E-07	6.11E-07	6.91E-07
P0CH09	YKR094C	1.01E-05	9.60E-06	8.83E-06
P0CS90	YJR045C	1.84E-05	1.92E-05	2.08E-05
P0CT04	YNL015W	1.31E-06	8.97E-07	1.99E-06
P0CX24	YMR242C	0.000185571	0.000173939	0.000170773
P0CX26	YJR094W-A	7.26E-05	7.10E-05	7.42E-05
P0CX28	YHR141C	4.31E-05	4.21E-05	4.40E-05
P0CX30	YGR118W	0.000101694	0.000100859	9.99E-05
P0CX32	YIL069C	0.000123693	0.000123747	0.000127068
P0CX34	YOR182C	7.34E-05	6.48E-05	6.88E-05
P0CX36	YJR145C	0.000139593	0.000141555	0.000139842
P0CX38	YBR181C	0.000106705	0.000105642	0.000104184
P0CX40	YER102W	0.000109342	0.000106496	0.000107948
P0CX42	YBL087C	8.33E-05	6.72E-05	7.64E-05
P0CX44	YGL135W	3.74E-05	3.76E-05	3.69E-05
P0CX46	YFR031C-A	0.000141949	0.000143183	0.00014486
P0CX48	YBR048W	0.00010237	9.38E-05	9.95E-05
P0CX50	YOL120C	2.43E-05	2.19E-05	2.16E-05
P0CX52	YMR143W	9.92E-05	9.99E-05	0.000102769
P0CX54	YDR418W	7.97E-05	7.36E-05	7.55E-05
P0CX56	YML026C	0.000107554	0.000106146	0.000107292
P0CX83	YBR084C-A	0.000112424	0.00010772	0.00011376
P0CX85	YDL136W	0.000108596	0.000119423	0.000111056
P10080	YHL034C	7.18E-06	7.44E-06	7.48E-06
P10081	YKR059W	2.59E-05	2.69E-05	2.64E-05
P10127	YGL256W	2.74E-07	1.99E-07	2.33E-07
P10356	YER152C	0	0	8.29E-08
P10363	YIR008C	3.38E-07	2.47E-07	2.61E-07
P10507	YLR163C	5.12E-07	5.58E-07	5.04E-07
P10566	YJL133W	4.24E-08	4.92E-08	4.39E-08
P10591	YAL005C	3.06E-05	3.17E-05	2.94E-05
P10592	YLL024C	8.82E-06	8.77E-06	9.01E-06
P10614	YHR007C	1.16E-06	1.01E-06	1.05E-06
P10622	YDL130W	1.99E-05	2.02E-05	2.21E-05
P10659	YLR180W	2.22E-05	2.13E-05	2.17E-05
P10662	YDR347W	5.41E-07	6.89E-07	6.68E-07
P10663	YPR166C	7.94E-07	3.55E-07	4.60E-07
P10664	YBR031W	0.000131738	0.000124352	0.000126843
P10823	YER020W	2.04E-07	2.21E-07	1.50E-07
P10834	YGR222W	7.04E-08	1.04E-07	3.76E-07
P10849	YDL044C	9.26E-08	8.51E-08	1.08E-07
P10869	YER052C	4.33E-06	4.54E-06	4.48E-06
P10961	YGL073W	0	4.10E-08	3.97E-08
P10962	YAL025C	7.28E-07	6.28E-07	7.18E-07
P10963	YKR097W	1.40E-06	1.20E-06	5.23E-07
P10964	YOR341W	9.27E-07	8.31E-07	8.39E-07
P11075	YDR170C	7.44E-08	6.90E-08	7.36E-08
P11154	YGL062W	5.63E-06	5.29E-06	5.64E-06
P11325	YLR382C	2.08E-08	2.68E-08	3.22E-08
P11353	YDR044W	1.08E-06	1.07E-06	1.01E-06
P11412	YNL241C	6.43E-06	6.23E-06	6.33E-06
P11433	YAL041W	2.43E-08	2.35E-08	3.41E-08
P11484	YDL229W	1.03E-06	9.87E-07	1.01E-06
P11491	YDR481C	3.46E-07	3.07E-07	2.86E-07
P11632	YPR052C	5.06E-06	5.00E-06	5.66E-06
P11633	YBR089C-A	1.69E-06	1.83E-06	1.55E-06
P11709	YCL029C	6.74E-08	4.75E-08	5.78E-08
